timestamp;ballId;posX;posY;playerId;posX;posY;playerId;posX;posY;playerId;posX;posY;playerId;posX;posY;playerId;posX;posY;playerId;posX;posY;playerId;posX;posY;playerId;posX;posY;playerId;posX;posY;playerId;posX;posY;playerId;posX;posY;playerId;posX;posY;playerId;posX;posY;playerId;posX;posY;playerId;posX;posY;playerId;posX;posY;playerId;posX;posY;playerId;posX;posY;playerId;posX;posY
1575903061700;296F;40;25;94709;25;12;94760;36;17;94701;59;24;94707;45;23;94703;36;27;94696;35;23;94713;34;15;94758;33;-3;94710;45;28;94714;25;18;94699;32;29;94702;25;27;94695;-;-;94700;3;23;94694;45;15;94712;0;27;94706;20;22;94711;22;16;94704;18;30
1575903061900;296F;41;24;94709;24;12;94760;35;18;94701;59;24;94707;45;23;94703;36;28;94696;35;23;94713;34;15;94758;33;-3;94710;45;28;94714;-;-;94699;33;29;94702;25;27;94695;-;-;94700;3;23;94694;45;15;94712;1;27;94706;21;23;94711;22;16;94704;18;30
1575903062100;296F;43;24;94709;23;12;94760;35;18;94701;60;24;94707;45;23;94703;36;28;94696;35;23;94713;34;15;94758;33;-3;94710;45;29;94714;25;18;94699;33;29;94702;25;27;94695;-;-;94700;3;23;94694;45;15;94712;1;27;94706;21;23;94711;22;16;94704;18;30
1575903062300;296F;43;24;94709;22;13;94760;35;18;94701;60;24;94707;45;23;94703;36;29;94696;35;24;94713;35;15;94758;33;-3;94710;45;29;94714;25;18;94699;34;29;94702;25;27;94695;-;-;94700;-;-;94694;45;14;94712;1;27;94706;21;23;94711;22;16;94704;18;30
1575903062500;296F;44;23;94709;21;13;94760;35;18;94701;60;24;94707;45;23;94703;36;29;94696;35;24;94713;36;16;94758;33;-3;94710;45;29;94714;25;18;94699;34;29;94702;25;27;94695;-;-;94700;3;23;94694;45;14;94712;1;27;94706;21;23;94711;22;16;94704;19;30
1575903062700;296F;45;23;94709;20;13;94760;35;18;94701;60;24;94707;45;23;94703;35;30;94696;34;24;94713;36;15;94758;33;-3;94710;45;30;94714;26;18;94699;35;28;94702;25;27;94695;-;-;94700;3;23;94694;45;14;94712;1;27;94706;21;23;94711;22;16;94704;19;30
1575903062900;296F;45;23;94709;19;13;94760;35;18;94701;60;24;94707;45;23;94703;35;31;94696;34;24;94713;37;15;94758;34;-3;94710;45;30;94714;26;18;94699;36;28;94702;26;27;94695;-;-;94700;3;23;94694;46;13;94712;1;27;94706;21;23;94711;22;16;94704;-;-
1575903063100;296F;45;22;94709;18;14;94760;35;18;94701;60;24;94707;45;23;94703;34;31;94696;34;24;94713;37;15;94758;-;-;94710;45;30;94714;26;18;94699;36;28;94702;-;-;94695;-;-;94700;3;23;94694;46;13;94712;1;27;94706;22;23;94711;22;16;94704;20;30
1575903063300;296F;45;22;94709;17;14;94760;35;17;94701;60;24;94707;45;22;94703;34;32;94696;34;24;94713;38;15;94758;34;-3;94710;45;31;94714;26;18;94699;37;28;94702;26;28;94695;-;-;94700;3;23;94694;46;13;94712;1;27;94706;22;23;94711;22;16;94704;20;30
1575903063500;296F;45;21;94709;17;15;94760;36;17;94701;60;24;94707;45;22;94703;34;32;94696;34;24;94713;38;15;94758;33;-4;94710;45;31;94714;27;18;94699;37;28;94702;26;28;94695;-;-;94700;3;23;94694;46;12;94712;1;27;94706;21;23;94711;21;16;94704;20;30
1575903063700;296F;45;21;94709;16;15;94760;36;17;94701;60;24;94707;45;21;94703;33;33;94696;34;23;94713;39;15;94758;33;-4;94710;45;31;94714;28;18;94699;38;28;94702;26;28;94695;-;-;94700;3;23;94694;46;12;94712;1;26;94706;21;23;94711;21;16;94704;20;30
1575903063900;296F;44;21;94709;16;16;94760;37;17;94701;60;24;94707;44;21;94703;33;33;94696;34;23;94713;39;15;94758;33;-4;94710;-;-;94714;28;18;94699;38;27;94702;27;28;94695;-;-;94700;3;23;94694;45;12;94712;1;26;94706;21;23;94711;21;16;94704;20;30
1575903064100;296F;44;20;94709;15;17;94760;37;17;94701;60;24;94707;44;21;94703;33;34;94696;34;23;94713;39;15;94758;33;-4;94710;45;32;94714;29;18;94699;39;26;94702;27;28;94695;-;-;94700;3;23;94694;45;11;94712;1;26;94706;20;23;94711;20;16;94704;21;30
1575903064300;296F;43;20;94709;15;18;94760;37;17;94701;60;24;94707;44;20;94703;32;34;94696;34;23;94713;39;14;94758;33;-4;94710;44;33;94714;30;18;94699;39;26;94702;27;28;94695;-;-;94700;3;23;94694;45;11;94712;1;26;94706;20;22;94711;20;16;94704;21;29
1575903064500;296F;43;20;94709;14;19;94760;37;17;94701;59;24;94707;43;20;94703;32;35;94696;34;23;94713;39;14;94758;33;-4;94710;44;33;94714;30;19;94699;39;25;94702;27;28;94695;-;-;94700;4;22;94694;44;10;94712;1;26;94706;19;22;94711;20;16;94704;21;29
1575903064700;296F;42;19;94709;14;19;94760;37;17;94701;59;24;94707;43;20;94703;32;35;94696;34;23;94713;39;14;94758;33;-4;94710;44;33;94714;31;19;94699;39;24;94702;27;28;94695;-;-;94700;4;22;94694;44;10;94712;1;26;94706;19;22;94711;20;16;94704;21;29
1575903064900;296F;40;18;94709;14;20;94760;37;17;94701;59;24;94707;43;19;94703;31;35;94696;34;23;94713;39;14;94758;33;-4;94710;44;34;94714;31;18;94699;39;23;94702;27;28;94695;-;-;94700;4;22;94694;43;10;94712;1;26;94706;19;22;94711;20;16;94704;21;29
1575903065100;296F;39;17;94709;14;21;94760;38;17;94701;58;24;94707;42;19;94703;31;35;94696;35;23;94713;39;15;94758;33;-4;94710;44;34;94714;32;18;94699;39;23;94702;27;28;94695;-;-;94700;4;22;94694;43;10;94712;1;26;94706;18;22;94711;20;16;94704;21;29
1575903065300;296F;38;17;94709;13;21;94760;38;17;94701;58;24;94707;42;19;94703;30;35;94696;35;23;94713;38;15;94758;33;-4;94710;44;34;94714;33;18;94699;-;-;94702;27;28;94695;-;-;94700;4;22;94694;42;9;94712;1;26;94706;18;22;94711;20;16;94704;20;28
